Document,Annotateur,Texte,Début,Fin,Layer,CUI,Type,Confiance,Relation,Source,Cible
common_27449845.txt,AU90360,Zirconia Abutments,21.0,39.0,Medical,C0545406,anatomy,high,,,
common_27449845.txt,AU90360,zirconia abutments,124.0,142.0,Medical,C0545406,anatomy,high,,,
common_27449845.txt,AV45040,Zirconia,21.0,29.0,Medical,A1.4.1.1.1,pharmacologic_substance,high,,,
common_27449845.txt,AV45040,single-tooth,165.0,177.0,Medical,A1.2,anatomy,high,,,
common_27706165.txt,AU90360,Mycobacterium leprae,109.0,129.0,Medical,C0026922,bacteria_virus,high,,,
common_27706165.txt,AU90360,leprosy,375.0,382.0,Medical,C0023343,pathology,high,,,
common_27706165.txt,AU90360,rpoB,586.0,590.0,Medical,C5212643,anatomy,high,,,
common_27706165.txt,AU90360,folP1,592.0,597.0,Medical,C3534385,anatomy,high,,,
common_27706165.txt,AU90360,gyrA,599.0,603.0,Medical,C5212633,anatomy,high,,,
common_27706165.txt,AU90360,gyrB,609.0,613.0,Medical,C3656150,anatomy,high,,,
common_27706165.txt,AU90360,rifampicin,641.0,651.0,Medical,C0035608,organical_chemical,high,,,
common_27706165.txt,AU90360,dapsone,653.0,660.0,Medical,C0010980,organical_chemical,high,,,
common_27706165.txt,AU90360,ofloxacin,665.0,674.0,Medical,C0028902,organical_chemical,,,,
common_27706165.txt,AU90360,rpoB gene,753.0,762.0,Medical,C5212643,anatomy,high,,,
common_27706165.txt,AU90360,Ser456Leu,775.0,784.0,Medical,C5212643,anatomy,high,,,
common_27706165.txt,AU90360,folP1 gene,814.0,824.0,Medical,C3534385,anatomy,high,,,
common_27706165.txt,AU90360,Pro55Leu,836.0,844.0,Medical,C4311297,anatomy,high,,,
common_27706165.txt,AU90360,rpoB,896.0,900.0,Medical,C5212643,anatomy,high,,,
common_27706165.txt,AU90360,folP1,922.0,927.0,Medical,C3534385,anatomy,high,,,
common_27706165.txt,AU90360,Pro55Leu,929.0,937.0,Medical,C4311297,anatomy,high,,,
common_27706165.txt,AU90360,folP1,1010.0,1015.0,Medical,C3534385,anatomy,high,,,
common_27706165.txt,AU90360,folP1 Asp91His,1184.0,1198.0,Medical,C3534385,anatomy,low,,,
common_27706165.txt,AU90360,Arg94Trp,1200.0,1208.0,Medical,C3552466,anatomy,low,,,
common_27706165.txt,AU90360,gyrA Ala107Leu,1228.0,1242.0,Medical,C5212633,anatomy,low,,,
common_27706165.txt,AU90360,rifampicin,1814.0,1824.0,Medical,C0035608,organical_chemical,high,,,
common_27706165.txt,AU90360,dapsone monotherapy,1852.0,1871.0,Medical,C0010980,organical_chemical,high,,,
common_27706165.txt,AU90360,,,,,,,,Causes,dapsone monotherapy,rifampicin
common_27706165.txt,AV00440,Leprosy,0.0,7.0,Medical,C0023343,pathology,high,,,
common_27706165.txt,AV00440,multibacillary,167.0,181.0,Medical,C1562585,pathology,high,,,
common_27706165.txt,AV00440,rifampicin,641.0,651.0,Medical,C0035608,organical_chemical,high,,,
common_27706165.txt,AV00440,dapsone,653.0,660.0,Medical,C0010980,organical_chemical,high,,,
common_27706165.txt,AV00440,ofloxacin,665.0,674.0,Medical,C0028902,organical_chemical,high,,,
common_27706165.txt,AV00440,Asp441Tyr,764.0,773.0,Medical,C0678941,anatomy,low,,,
common_27706165.txt,AV00440,Ser456Leu,775.0,784.0,Medical,C0678941,anatomy,low,,,
common_27706165.txt,AV00440,Ser458Met,786.0,795.0,Medical,C0596611,anatomy,low,,,
common_27706165.txt,AV00440,Thr53Ala,826.0,834.0,Medical,C0596611,anatomy,low,,,
common_27706165.txt,AV00440,Pro55Leu,836.0,844.0,Medical,C0678941,anatomy,low,,,
common_27706165.txt,AV00440,Ser456Met,902.0,911.0,Medical,C0678941,anatomy,low,,,
common_27706165.txt,AV00440,Thr88Pro,1030.0,1038.0,Medical,C0678941,anatomy,low,,,
common_27706165.txt,AV00440,gyrA,599.0,603.0,Medical,C0017337,anatomy,high,,,
common_27706165.txt,AV00440,gyrB,609.0,613.0,Medical,C0017337,anatomy,high,,,
common_27706165.txt,AV00440,rpoB,586.0,590.0,Medical,C0017337,anatomy,,,,
common_27706165.txt,AV00440,folP1,592.0,597.0,Medical,C0017337,anatomy,high,,,
common_27706165.txt,AV00440,Arg505Trp,1173.0,1182.0,Medical,C0678941,anatomy,low,,,
common_27706165.txt,AV00440,Asp91His,1190.0,1198.0,Medical,C0678941,anatomy,low,,,
common_27706165.txt,AV00440,Arg94Trp,1200.0,1208.0,Medical,C0678941,anatomy,low,,,
common_27706165.txt,AV00440,Thr88Pro,1214.0,1222.0,Medical,C0678941,anatomy,low,,,
common_27706165.txt,AV00440,Ala107Leu,1233.0,1242.0,Medical,C0678941,anatomy,low,,,
common_27706165.txt,AV00440,M. leprae,422.0,431.0,Abbreviation,,abbreviation,,,,
common_27706165.txt,AV00440,Mycobacterium leprae,109.0,129.0,Abbreviation,,reference_object,,,,
common_27706165.txt,AV00440,DNA,432.0,435.0,Abbreviation,,abbreviation,,,,
common_27706165.txt,AV00440,,,,,,,,Refers_to,M. leprae,Mycobacterium leprae
common_27706165.txt,AV45040,Leprosy Drug,0.0,12.0,Medical,A1.4.1.1.1,pharmacologic_substance,high,,,
common_27706165.txt,AV45040,Mycobacterium leprae,109.0,129.0,Medical,A1.1.2,bacteria_virus,high,,,
common_27706165.txt,AV45040,DNA,432.0,435.0,Medical,A1.4.1.2.1,organical_chemical,high,,,
common_27706165.txt,AV45040,skin,446.0,450.0,Medical,A1.2,anatomy,high,,,
common_27706165.txt,AV45040,rpoB,586.0,590.0,Medical,A1.4.1.2.1,organical_chemical,,,,
common_27706165.txt,AV45040,folP1,592.0,597.0,Medical,A1.4.1.2.1,organical_chemical,,,,
common_27706165.txt,AV45040,gyrA,599.0,603.0,Medical,A1.4.1.2.1,organical_chemical,high,,,
common_27706165.txt,AV45040,gyrB,609.0,613.0,Medical,A1.4.1.2.1,organical_chemical,high,,,
common_27706165.txt,AV45040,genes,619.0,624.0,Medical,A1.4.1.2.1,organical_chemical,,,,
common_27706165.txt,AV45040,rifampicin,641.0,651.0,Medical,A1.4.1.1.1,pharmacologic_substance,high,,,
common_27706165.txt,AV45040,dapsone,653.0,660.0,Medical,A1.4.1.1.1,pharmacologic_substance,high,,,
common_27706165.txt,AV45040,ofloxacin,665.0,674.0,Medical,A1.4.1.1.1,pharmacologic_substance,high,,,
common_27706165.txt,AV45040,dapsone,1537.0,1544.0,Medical,A1.4.1.1.1,pharmacologic_substance,high,,,
common_27706165.txt,AV45040,drug resistance determining region,541.0,575.0,Abbreviation,,reference_object,,,,
common_27706165.txt,AV45040,DRDR,577.0,581.0,Abbreviation,,abbreviation,,,,
common_27706165.txt,AV45040,,,,,,,,Refers_to,DRDR,drug resistance determining region
common_27725796.txt,AU90360,agoraphobia,267.0,278.0,Medical,C0001818,pathology,high,,,
common_27725796.txt,AU90360,Agoraphobia,82.0,93.0,Medical,C0001818,pathology,high,,,
common_27725796.txt,AU90360,Schizophrenia,64.0,77.0,Medical,C0036341,pathology,high,,,
common_27725796.txt,AU90360,schizophrenic,240.0,253.0,Medical,C0036341,pathology,high,,,
common_27725796.txt,AV00440,Anxiety,11.0,18.0,Medical,C0003467,pathology,,,,
common_27725796.txt,AV00440,Schizophrenia,64.0,77.0,Medical,C0036341,pathology,high,,,
common_27725796.txt,AV00440,Delusions,20.0,29.0,Medical,C0011253,pathology,high,,,
common_27725796.txt,AV00440,Agoraphobia,82.0,93.0,Medical,C0001818,pathology,high,,,
common_27725796.txt,AV00440,sense of agency,129.0,144.0,Medical,C5940644,physiologic_function,high,,,
common_27725796.txt,AV00440,disorders,364.0,373.0,Medical,C0012634,pathology,high,,,
common_27725796.txt,AV45040,Anxiety,11.0,18.0,Medical,A2.2.2,symptom,high,,,
common_27725796.txt,AV45040,Delusions,20.0,29.0,Medical,A2.2.2,symptom,high,,,
common_27725796.txt,AV45040,Schizophrenia,64.0,77.0,Medical,B2.2.1.2,pathology,high,,,
common_27725796.txt,AV45040,Agoraphobia,82.0,93.0,Medical,B2.2.1.2,pathology,high,,,
common_27725796.txt,AV45040,symptoms,254.0,262.0,Medical,A2.2.2,symptom,high,,,
common_27725796.txt,AV45040,disorders,364.0,373.0,Medical,B2.2.1.2,pathology,high,,,
common_27882066.txt,AU90360,Hepatitis C Virus,99.0,116.0,Medical,C0220847,bacteria_virus,high,,,
common_27882066.txt,AU90360,Codon Usage,26.0,37.0,Medical,C5197798,physiologic_function,high,,,
common_27882066.txt,AU90360,HCV,274.0,277.0,Medical,C0220847,,,,,
common_27882066.txt,AU90360,amino acid,309.0,319.0,Medical,C0002520,organical_chemical,high,,,
common_27882066.txt,AU90360,codon usage,320.0,331.0,Medical,C5197798,physiologic_function,high,,,
common_27882066.txt,AU90360,codon usage,422.0,433.0,Medical,C5197798,physiologic_function,high,,,
common_27882066.txt,AU90360,HCV,462.0,465.0,Medical,C0220847,bacteria_virus,high,,,
common_27882066.txt,AU90360,HCV genotypes,639.0,652.0,Medical,C1148363,pathology,high,,,
common_27882066.txt,AU90360,HCV,710.0,713.0,Medical,C0220847,bacteria_virus,high,,,
common_27882066.txt,AU90360,codon usage properties,758.0,780.0,Medical,C5197798,physiologic_function,high,,,
common_27882066.txt,AU90360,codon usage,933.0,944.0,Medical,C5197798,physiologic_function,high,,,
common_27882066.txt,AU90360,codon usage,1011.0,1022.0,Medical,C5197798,physiologic_function,high,,,
common_27882066.txt,AU90360,HCV,1153.0,1156.0,Medical,C0220847,bacteria_virus,high,,,
common_27882066.txt,AU90360,guanine - cytosine,1167.0,1185.0,Medical,C1367452,anatomy,high,,,
common_27882066.txt,AU90360,GC,1163.0,1165.0,Medical,C1367452,anatomy,high,,,
common_27882066.txt,AU90360,GC,1237.0,1239.0,Medical,C1367452,anatomy,high,,,
common_27882066.txt,AU90360,codon usage,1596.0,1607.0,Medical,C5197798,physiologic_function,high,,,
common_27882066.txt,AU90360,hepatitis C virus,122.0,139.0,Abbreviation,,reference_object,,,,
common_27882066.txt,AU90360,HCV,141.0,144.0,Abbreviation,,acronym,,,,
common_27882066.txt,AU90360,HCV,274.0,277.0,Abbreviation,,acronym,,,,
common_27882066.txt,AU90360,HCV,462.0,465.0,Abbreviation,,acronym,,,,
common_27882066.txt,AU90360,guanine - cytosine,1167.0,1185.0,Abbreviation,,reference_object,,,,
common_27882066.txt,AU90360,GC,1163.0,1165.0,Abbreviation,,acronym,,,,
common_27882066.txt,AU90360,,,,,,,,Refers_to,HCV,hepatitis C virus
common_27882066.txt,AU90360,,,,,,,,Refers_to,HCV,hepatitis C virus
common_27882066.txt,AU90360,,,,,,,,Refers_to,HCV,hepatitis C virus
common_27882066.txt,AU90360,,,,,,,,Refers_to,GC,guanine - cytosine
common_27882066.txt,AV00440,hepatitis C virus,122.0,139.0,Medical,C0220847,bacteria_virus,high,,,
common_27882066.txt,AV00440,Codon Usage,26.0,37.0,Medical,C0220847,physiologic_function,high,,,
common_27882066.txt,AV00440,guanine,1167.0,1174.0,Medical,C0018321,organical_chemical,high,,,
common_27882066.txt,AV00440,cytosine,1177.0,1185.0,Medical,C0010843,organical_chemical,high,,,
common_27882066.txt,AV00440,hepatitis C virus,122.0,139.0,Abbreviation,,reference_object,,,,
common_27882066.txt,AV00440,HCV,141.0,144.0,Abbreviation,,abbreviation,,,,
common_27882066.txt,AV00440,GC,1163.0,1165.0,Abbreviation,,abbreviation,,,,
common_27882066.txt,AV00440,guanine - cytosine,1167.0,1185.0,Abbreviation,,reference_object,,,,
common_27882066.txt,AV00440,,,,,,,,Refers_to,HCV,hepatitis C virus
common_27882066.txt,AV00440,,,,,,,,Refers_to,GC,guanine - cytosine
common_27882066.txt,AV45040,Phylogenetic,42.0,54.0,Medical,A1.2,anatomy,high,,,
common_27882066.txt,AV45040,Hepatitis C Virus,99.0,116.0,Medical,A1.1.4,bacteria_virus,high,,,
common_27882066.txt,AV45040,genotypes,160.0,169.0,Medical,A1.2,anatomy,high,,,
common_27882066.txt,AV45040,amino acid,309.0,319.0,Medical,A1.4.1.2.1,organical_chemical,high,,,
common_27882066.txt,AV45040,virus,356.0,361.0,Medical,A1.1.4,bacteria_virus,high,,,
common_27882066.txt,AV45040,treatment regimes,399.0,416.0,Medical,A1.4.1.1.1,pharmacologic_substance,high,,,
common_27882066.txt,AV45040,nucleotide,466.0,476.0,Medical,A1.4.1.2.1,organical_chemical,high,,,
common_27882066.txt,AV45040,Gene,559.0,563.0,Medical,A1.4.1.2.1,organical_chemical,high,,,
common_27882066.txt,AV45040,guanine,1167.0,1174.0,Medical,A1.4.1.2.1,organical_chemical,high,,,
common_27882066.txt,AV45040,cytosine,1177.0,1185.0,Medical,A1.4.1.2.1,organical_chemical,high,,,
common_27882066.txt,AV45040,proteins,1343.0,1351.0,Medical,A1.4.1.2.1,organical_chemical,high,,,
common_27882066.txt,AV45040,hepatitis C virus,122.0,139.0,Abbreviation,,reference_object,,,,
common_27882066.txt,AV45040,HCV,141.0,144.0,Abbreviation,,abbreviation,,,,
common_27882066.txt,AV45040,guanine - cytosine,1167.0,1185.0,Abbreviation,,reference_object,,,,
common_27882066.txt,AV45040,GC,1163.0,1165.0,Abbreviation,,abbreviation,,,,
common_27882066.txt,AV45040,,,,,,,,Refers_to,HCV,hepatitis C virus
common_27882066.txt,AV45040,,,,,,,,Refers_to,guanine - cytosine,GC
common_27935120.txt,AU90360,HR-HPV,224.0,230.0,Medical,C1708287,pathology,high,,,
common_27935120.txt,AU90360,high-risk human papillomavirus,192.0,222.0,Medical,C1708287,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV genotyping test,314.0,333.0,Medical,C0021344,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV infection,425.0,438.0,Medical,C0343641,pathology,high,,,
common_27935120.txt,AU90360,HR-HPV,482.0,488.0,Medical,C1708287,bacteria_virus,high,,,
common_27935120.txt,AU90360,high-risk human papillomavirus infection,14.0,54.0,Medical,C1708287,bacteria_virus,high,,,
common_27935120.txt,AU90360,HR-HPV,506.0,512.0,Medical,C1708287,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-16,528.0,534.0,Medical,C0999806,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-58,536.0,542.0,Medical,C3641018,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-52,544.0,550.0,Medical,C3641016,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-18,552.0,558.0,Medical,C0999807,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-31,564.0,570.0,Medical,C2936597,bacteria_virus,high,,,
common_27935120.txt,AU90360,HR-HPV,590.0,596.0,Medical,C1708287,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-16,725.0,731.0,Medical,C0999806,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-18,733.0,739.0,Medical,C0999807,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-58,741.0,747.0,Medical,C3641018,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-52,749.0,755.0,Medical,C3641016,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-31,761.0,767.0,Medical,C2936597,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-16,769.0,775.0,Medical,C0999806,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-18,780.0,786.0,Medical,C0999807,bacteria_virus,high,,,
common_27935120.txt,AU90360,cervical cancer,813.0,828.0,Medical,C4048328,pathology,high,,,
common_27935120.txt,AU90360,HR-HPVs,864.0,871.0,Medical,C1708287,bacteria_virus,high,,,
common_27935120.txt,AU90360,cervical lesions.,898.0,915.0,Medical,C0235656,pathology,high,,,
common_27935120.txt,AU90360,HPV infection,931.0,944.0,Medical,C0343641,pathology,high,,,
common_27935120.txt,AU90360,HR-HPV infection,1042.0,1058.0,Medical,C1708287,bacteria_virus,high,,,
common_27935120.txt,AU90360,cervical cancer,1063.0,1078.0,Medical,C4048328,pathology,high,,,
common_27935120.txt,AU90360,HPV-16,1080.0,1086.0,Medical,C0999806,bacteria_virus,high,,,
common_27935120.txt,AU90360,HPV-18,1091.0,1097.0,Medical,C0999807,bacteria_virus,high,,,
common_27935120.txt,AU90360,HR-HPV,224.0,230.0,Abbreviation,,acronym,,,,
common_27935120.txt,AU90360,high-risk human papillomavirus,192.0,222.0,Abbreviation,,reference_object,,,,
common_27935120.txt,AU90360,,,,,,,,Causes,HR-HPV,HPV infection
common_27935120.txt,AU90360,,,,,,,,Causes,HPV-16,cervical cancer
common_27935120.txt,AU90360,,,,,,,,Refers_to,HR-HPV,high-risk human papillomavirus
common_27935120.txt,AV00440,papillomavirus,30.0,44.0,Medical,C0030358,bacteria_virus,high,,,
common_27935120.txt,AV00440,HPV-16,528.0,534.0,Medical,C0999806,bacteria_virus,high,,,
common_27935120.txt,AV00440,HPV-58,536.0,542.0,Medical,C3641018,bacteria_virus,high,,,
common_27935120.txt,AV00440,HPV-52,544.0,550.0,Medical,C3641016,bacteria_virus,high,,,
common_27935120.txt,AV00440,"HPV-18,",552.0,559.0,Medical,C0999807,bacteria_virus,high,,,
common_27935120.txt,AV00440,HPV-31,564.0,570.0,Medical,C2936597,bacteria_virus,high,,,
common_27935120.txt,AV00440,high-risk human papillomavirus,192.0,222.0,Medical,C1708287,bacteria_virus,high,,,
common_27935120.txt,AV00440,cervical cancer,813.0,828.0,Medical,C4048328,pathology,high,,,
common_27935120.txt,AV00440,high-risk human papillomavirus,192.0,222.0,Abbreviation,,reference_object,,,,
common_27935120.txt,AV00440,HR-HPV,224.0,230.0,Abbreviation,,abbreviation,,,,
common_27935120.txt,AV00440,,,,,,,,Causes,HPV-16,cervical cancer
common_27935120.txt,AV00440,,,,,,,,Causes,HPV-58,cervical cancer
common_27935120.txt,AV00440,,,,,,,,Causes,HPV-52,cervical cancer
common_27935120.txt,AV00440,,,,,,,,Causes,"HPV-18,",cervical cancer
common_27935120.txt,AV00440,,,,,,,,Causes,HPV-31,cervical cancer
common_27935120.txt,AV00440,,,,,,,,Refers_to,HR-HPV,high-risk human papillomavirus
common_27935120.txt,AV45040,papillomavirus,30.0,44.0,Medical,A1.1.4,bacteria_virus,high,,,
common_27935120.txt,AV45040,infection,45.0,54.0,Medical,B2.3,injury_or_poisoning,high,,,
common_27935120.txt,AV45040,cervical cancer,1063.0,1078.0,Medical,B2.2.1.2,pathology,high,,,
common_27935120.txt,AV45040,cervical lesions,898.0,914.0,Medical,B2.3,injury_or_poisoning,high,,,
common_27935120.txt,AV45040,carcinogenic,697.0,709.0,Medical,B2.2.1.2,pathology,high,,,
common_27935120.txt,AV45040,high-risk human papillomavirus,192.0,222.0,Abbreviation,,reference_object,,,,
common_27935120.txt,AV45040,HR-HPV,224.0,230.0,Abbreviation,,abbreviation,,,,
common_27935120.txt,AV45040,,,,,,,,Refers_to,HR-HPV,high-risk human papillomavirus
common_28139665.txt,AU90360,Vitamin D Receptor Activator,0.0,28.0,Medical,C4689792,physiologic_function,low,,,
common_28139665.txt,AU90360,Vitamin D receptor activators,141.0,170.0,Medical,C4689792,physiologic_function,low,,,
common_28139665.txt,AU90360,cardiovascular disease,211.0,233.0,Medical,C0007222,pathology,high,,,
common_28139665.txt,AU90360,infections,251.0,261.0,Medical,C3714514,pathology,high,,,
common_28139665.txt,AU90360,VDRA,530.0,534.0,Medical,C4689792,physiologic_function,low,,,
common_28139665.txt,AU90360,VDRA,956.0,960.0,Medical,C4689792,physiologic_function,low,,,
common_28139665.txt,AU90360,infection,1014.0,1023.0,Medical,C3714514,pathology,high,,,
common_28139665.txt,AU90360,VDRA,1370.0,1374.0,Medical,C4689792,physiologic_function,low,,,
common_28139665.txt,AU90360,infection,1378.0,1387.0,Medical,C3714514,pathology,low,,,
common_28139665.txt,AU90360,cardiovascular disease,1416.0,1438.0,Medical,C0007222,pathology,,,,
common_28139665.txt,AU90360,VDRA,172.0,176.0,Abbreviation,,acronym,,,,
common_28139665.txt,AU90360,Vitamin D receptor activators,141.0,170.0,Abbreviation,,reference_object,,,,
