anatomy,bacteria_virus,injury_or_poisoning,organical_chemical,pathology,pharmacologic_substance,physiologic_function,symptom,Non_annotated
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,1,0,0,1
1,0,0,0,0,0,0,0,2
0,0,0,0,1,1,0,0,1
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
0,2,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
0,2,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,2
0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,2
1,0,0,0,0,0,0,0,2
2,0,0,1,0,0,0,0,0
2,0,0,1,0,0,0,0,0
2,0,0,1,0,0,0,0,0
2,0,0,1,0,0,0,0,0
0,0,0,1,0,0,0,0,2
0,0,0,2,0,1,0,0,0
0,0,0,2,0,1,0,0,0
0,0,0,2,0,1,0,0,0
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,2
0,0,0,0,0,1,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,1,0,0,1,1
0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,0,1,2
0,0,0,0,1,0,0,0,2
0,0,0,0,2,0,0,0,1
0,0,0,0,3,0,0,0,0
0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,2,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,2,0,0,0,0,0
1,0,0,0,0,0,0,0,2
1,0,0,2,0,0,0,0,0
0,1,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,0,0,1,0,0,0,0,2
0,0,0,0,0,0,1,0,2
1,0,0,0,0,0,0,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,2,0,1
0,0,0,2,0,0,0,0,1
0,0,0,2,0,0,0,0,1
0,0,0,0,0,0,2,0,1
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,1,0,0,0,0,0,0,2
0,0,0,0,0,1,0,0,2
0,0,0,0,0,1,0,0,2
1,0,0,0,0,0,0,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,1,0,0,0,0,0,0,2
0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,2
0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,2
0,1,0,0,0,0,0,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,2,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,0,0,0,2,0,0,0,1
0,0,0,0,2,0,0,0,1
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,2,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,2
0,1,0,0,0,0,0,0,2
0,3,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,2
0,1,1,0,0,0,0,0,1
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,2,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,1
0,2,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,2,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0,2
0,0,0,0,1,0,0,0,2
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,2
0,0,0,0,2,0,0,0,1
0,0,0,0,2,0,0,0,1
0,1,0,0,0,0,0,0,2
0,0,1,0,1,0,0,0,1
0,0,1,0,0,0,0,0,2
0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,1,0,1
0,0,0,0,0,0,1,0,2
0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,3,0,0,0,0
0,0,0,0,3,0,0,0,0
0,0,0,0,2,0,0,0,1
0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,1,0,0,0,0,0,2
0,0,0,1,0,0,1,0,1
0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,1,0,0,0,0,2
0,0,0,0,0,0,1,0,2
0,0,0,2,0,0,0,0,1
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,1,0,1,0,1
0,0,0,1,0,0,0,0,2
0,0,0,0,0,1,0,0,2
0,0,0,0,0,1,0,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,1,0,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,1,0,2
0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,2
0,0,0,0,1,0,0,0,2
1,0,0,1,0,0,0,0,1
1,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,2
0,0,1,0,0,0,0,0,2
0,0,1,0,0,0,0,0,2
0,0,0,0,0,1,0,0,2
0,0,0,0,0,0,1,0,2
0,0,1,0,0,0,0,0,2
2,0,0,0,0,0,0,0,1
0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,2
2,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,2
0,0,0,0,2,0,0,0,1
0,0,0,0,2,0,0,0,1
0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,2
0,0,1,0,0,0,0,0,2
0,0,1,0,0,0,0,0,2
0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,2
0,0,2,0,0,0,0,0,1
0,0,0,0,1,0,0,1,1
0,0,0,0,1,0,0,1,1
0,0,0,0,0,0,0,1,2
0,0,0,0,0,0,0,1,2
1,0,0,1,0,0,0,0,1
0,0,0,0,0,1,0,0,2
1,0,0,0,0,0,0,0,2
0,0,0,0,1,0,0,0,2
1,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,0,1
0,0,0,0,1,0,0,0,2
0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,2
0,0,0,2,0,0,0,0,1
2,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,2
0,0,0,0,0,1,0,0,2
0,0,0,0,1,0,0,0,2
0,0,0,0,0,0,1,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
0,0,0,0,1,0,1,0,1
0,0,0,0,1,0,1,0,1
0,0,0,0,1,0,0,0,2
0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,2
0,0,0,1,0,0,0,0,2
1,0,0,1,0,0,0,0,1
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,0,2
